,Proton Number,Nucleon Number,Binding Energy
0,1.0,1,0.0
1,1.0,2,0.001871244827235552
2,1.0,3,0.008058119091079785
3,2.0,3,0.007076701245929851
5,1.0,4,0.006391931822999464
6,2.0,4,0.027576370404969186
7,3.0,4,0.003690242709000202
8,1.0,5,0.006125000947999837
9,2.0,5,0.026774724455998822
10,3.0,5,0.02532730820000051
12,1.0,6,0.005146488152998785
13,2.0,6,0.028417237340999435
14,3.0,6,0.030920591811979925
15,4.0,6,0.02563471322099975
17,1.0,7,0.005890680999998565
18,2.0,7,0.027940702987999444
19,3.0,7,0.038100802703939785
20,4.0,7,0.03623936726599908
21,5.0,7,0.023338127999998903
22,2.0,8,0.030407084771998605
23,3.0,8,0.040065306835999515
24,4.0,8,0.05506095003799949
25,5.0,8,0.036090589734998346
26,6.0,8,0.02295433069099939
27,2.0,9,0.029085888565999696
28,3.0,9,0.04405833217900046
29,4.0,9,0.056657569277998476
30,5.0,9,0.05459010050499913
31,6.0,9,0.03710436493799918
32,2.0,10,0.028828950114000662
33,3.0,10,0.04396490525700081
34,4.0,10,0.06339920174799829
35,5.0,10,0.06295578147799752
36,6.0,10,0.05830965497299978
37,7.0,10,0.03422055425999737
38,3.0,11,0.04429334608900071
39,4.0,11,0.06383353451999874
40,5.0,11,0.07433689045399738
41,6.0,11,0.07135625219299868
42,7.0,11,0.056647280916998
43,8.0,11,0.0322864101320004
44,3.0,12,0.04401641999799821
45,4.0,12,0.06693554165799753
46,5.0,12,0.07763769402199827
47,6.0,12,0.08999999999999986
48,7.0,12,0.07167112942000031
49,8.0,12,0.056003647094000186
50,3.0,13,0.044049330706997125
51,4.0,13,0.06635877491399889
52,5.0,13,0.08244683768899641
53,6.0,13,0.09487664829845954
54,7.0,13,0.09165735502099892
55,8.0,13,0.07289683001499725
56,9.0,13,0.05299234900000016
57,4.0,14,0.06806669147999855
58,5.0,14,0.08334886668999708
59,6.0,14,0.10298170859478084
60,7.0,14,0.10213810204324858
61,8.0,14,0.09599646671399675
62,9.0,14,0.07105255252399978
63,4.0,15,0.06620060983499876
64,5.0,15,0.08605798158699862
65,6.0,15,0.10413209266399726
66,7.0,15,0.11289861571062865
67,8.0,15,0.10914589288399767
68,9.0,15,0.0944420355909994
69,10.0,15,0.0698059584129993
70,4.0,16,0.06658333448399745
71,5.0,16,0.08590798710499747
72,6.0,16,0.10831313159499878
73,7.0,16,0.11531910782499999
74,8.0,16,0.12473448946893839
75,9.0,16,0.10833048118199784
76,10.0,16,0.09402594934000064
77,5.0,17,0.08730686753099626
78,6.0,17,0.10897927684999864
79,7.0,17,0.12113409644399908
80,8.0,17,0.12880833521054846
81,9.0,17,0.12504933435300103
82,10.0,17,0.10950830137799983
83,11.0,17,0.09029883699999885
84,5.0,18,0.08723483312699898
85,6.0,18,0.11309395317000082
86,7.0,18,0.12389378884699909
87,8.0,18,0.13678240109765483
88,9.0,18,0.13412735135599974
89,10.0,18,0.12868520402399852
90,11.0,18,0.10797528977199633
91,5.0,19,0.08726145399999652
92,6.0,19,0.11360343998600086
93,7.0,19,0.12915215584099826
94,8.0,19,0.14066891086099886
95,9.0,19,0.14448665611282863
96,10.0,19,0.14024887651399354
97,11.0,19,0.12807747421599558
98,12.0,19,0.10817849448000061
99,5.0,20,0.08563524543599854
100,6.0,20,0.11651632750799834
101,7.0,20,0.13124504835499806
102,8.0,20,0.14820584263299708
103,9.0,20,0.15101745438799696
104,10.0,20,0.15703819684224385
105,11.0,20,0.1421531457689973
106,12.0,20,0.1305315771750024
